ID,Table,Column,Tags,ValueControl,Title,Description,UsedFor,Decimal,EnumValue,EnumList,VariableList,DateValue,Photo,URL,File,LastEditBy,LastEditOn,Name_en,Name_hi,Name_mr,ActionIcon
OPT_AgriEquip,Variable,Livelihoods,"Option , Livelihoods , ID Connected to Variable",Enum,Rents tractor and agricultural equipments ,,Option item for Livelihoods,,Rents tractor and agricultural equipments ,,,,,,,DevNoMi,08/10/2026 08:57:11,Rents tractor and agricultural equipments ,ट्रैक्टर और कृषि उपकरण किराए पर देता है,ट्रॅक्टर आणि शेतीची उपकरणे भाड्याने देते,
OPT_AgriLabour,Variable,Livelihoods,"Option , Livelihoods , ID Connected to Variable",Enum,Agriculture Labour  ,,Option item for Livelihoods,,Agriculture Labour  ,,,,,,,DevNoMi,08/10/2026 08:57:11,Agriculture Labour  ,कृषि श्रमिक,शेती कामगार,
OPT_Labour,Variable,Livelihoods,"Option , Livelihoods , ID Connected to Variable",Enum,"Labour (Mine,forest  and Industry)",,Option item for Livelihoods,,"Labour (Mine,forest  and Industry)",,,,,,,DevNoMi,08/10/2026 08:57:11,"Labour (Mine,forest  and Industry)","श्रम (खनन, वन और उद्योग)","मजूर (खाण, वन आणि उद्योग)",
OPT_Salaried,Variable,Livelihoods,"Option , Livelihoods , ID Connected to Variable",Enum,Salaried job,,Option item for Livelihoods,,Salaried job,,,,,,,DevNoMi,08/10/2026 08:57:11,Salaried job,वेतनभोगी नौकरी,पगारदार नोकरी,
OPT_Other,Variable,Livelihoods,"Option , Livelihoods , ID Connected to Variable",Enum,Other,,Option item for Livelihoods,,Other,,,,,,,DevNoMi,08/10/2026 08:57:11,Other,अन्य,इतर,
OPT_NearForest,Variable,FarmLocation,"Option , FarmLocation , ID Connected to Variable",Enum,Near forest,,Option item for FarmLocation,,Near forest,,,,,,,DevNoMi,08/10/2026 08:57:11,Near forest,जंगल के पास,जंगलाजवळ,
OPT_NearRiver,Variable,FarmLocation,"Option , FarmLocation , ID Connected to Variable",Enum,Near river,,Option item for FarmLocation,,Near river,,,,,,,DevNoMi,08/10/2026 08:57:11,Near river,नदी के पास,नदीजवळ,
OPT_NearPond,Variable,FarmLocation,"Option , FarmLocation , ID Connected to Variable",Enum,Near pond,,Option item for FarmLocation,,Near pond,,,,,,,DevNoMi,08/10/2026 08:57:11,Near pond,तालाब के पास,तलावाजवळ,
OPT_NearNala,Variable,FarmLocation,"Option , FarmLocation , ID Connected to Variable",Enum,Near Nala,,Option item for FarmLocation,,Near Nala,,,,,,,DevNoMi,08/10/2026 08:57:11,Near Nala,नाले के पास,नाला जवळ,
OPT_Surrounded,Variable,FarmLocation,"Option , FarmLocation , ID Connected to Variable",Enum,It is surrounded by other farms,,Option item for FarmLocation,,It is surrounded by other farms,,,,,,,DevNoMi,08/10/2026 08:57:11,It is surrounded by other farms,यह अन्य खेतों से घिरा हुआ है,त्याच्या सभोवताली इतर शेतं आहेत.,
OPT_PoorFertility,Variable,SoilQuality,"Option , SoilQuality , ID Connected to Variable",Enum,Poor fertility,,Option item for SoilQuality,,Poor fertility,,,,,,,DevNoMi,08/10/2026 08:57:11,Poor fertility,कम प्रजनन क्षमता,कमी प्रजनन क्षमता,
OPT_AverageFertility,Variable,SoilQuality,"Option , SoilQuality , ID Connected to Variable",Enum,Average fertility,,Option item for SoilQuality,,Average fertility,,,,,,,DevNoMi,08/10/2026 08:57:11,Average fertility,औसत प्रजनन दर,सरासरी प्रजनन क्षमता,
OPT_HighlyFertile,Variable,SoilQuality,"Option , SoilQuality , ID Connected to Variable",Enum,Highly fertile,,Option item for SoilQuality,,Highly fertile,,,,,,,DevNoMi,08/10/2026 08:57:11,Highly fertile,अत्यधिक उपजाऊ,अत्यंत सुपीक,
OPT_AsNeeded,Variable,"IrrigationFrequency
","Option , IrrigationFrequency
 , ID Connected to Variable",Enum,As needed,,"Option item for IrrigationFrequency
",,As needed,,,,,,,DevNoMi,08/10/2026 08:57:11,As needed,जरुरत के अनुसार,आवश्यकतेनुसार,
OPT_75Required,Variable,"IrrigationFrequency
","Option , IrrigationFrequency
 , ID Connected to Variable",Enum,75% of required,,"Option item for IrrigationFrequency
",,75% of required,,,,,,,DevNoMi,08/10/2026 08:57:11,75% of required,आवश्यक का 75%,आवश्यकतेच्या ७५%,
OPT_50Required,Variable,"IrrigationFrequency
","Option , IrrigationFrequency
 , ID Connected to Variable",Enum,50% of required,,"Option item for IrrigationFrequency
",,50% of required,,,,,,,DevNoMi,08/10/2026 08:57:11,50% of required,आवश्यक का 50%,आवश्यकतेच्या ५०%,
OPT_25Required,Variable,"IrrigationFrequency
","Option , IrrigationFrequency
 , ID Connected to Variable",Enum,25% of required,,"Option item for IrrigationFrequency
",,25% of required,,,,,,,DevNoMi,08/10/2026 08:57:11,25% of required,आवश्यक का 25%,आवश्यकतेच्या २५%,
OPT_Jun-Oct,Variable,Irrigation_Months,"Option , Irrigation_Months , ID Connected to Variable",Enum,a. June to September,5.0,Option item for Irrigation_Months,,a. June to September,,,,,,,DevNoMi,08/10/2026 08:57:11,a. June to September,ए. जून से सितंबर,अ. जून ते सप्टेंबर,
OPT_Oct-Mar,Variable,Irrigation_Months,"Option , Irrigation_Months , ID Connected to Variable",Enum,b. October to March,5.0,Option item for Irrigation_Months,,b. October to March,,,,,,,DevNoMi,08/10/2026 08:57:11,b. October to March,ख. अक्टूबर से मार्च,ब. ऑक्टोबर ते मार्च,
OPT_Apr-June,Variable,Irrigation_Months,"Option , Irrigation_Months , ID Connected to Variable",Enum,c. April to June,3.0,Option item for Irrigation_Months,,c. April to June,,,,,,,DevNoMi,08/10/2026 08:57:11,c. April to June,लगभग अप्रैल से जून तक,अंदाजे एप्रिल ते जून,
OPT_Wells,Variable,Irrigation_Source,"Option , Irrigation_Source , ID Connected to Variable",Enum,Wells,,Option item for Irrigation_Source,,Wells,,,,,,,DevNoMi,08/10/2026 08:57:11,Wells,वेल्स,वेल्स,
OPT_Borewells,Variable,Irrigation_Source,"Option , Irrigation_Source , ID Connected to Variable",Enum,Borewells,,Option item for Irrigation_Source,,Borewells,,,,,,,DevNoMi,08/10/2026 08:57:11,Borewells,बोरवेल,बोअरवेल,
OPT_Nala,Variable,Irrigation_Source,"Option , Irrigation_Source , ID Connected to Variable",Enum,Nala,,Option item for Irrigation_Source,,Nala,,,,,,,DevNoMi,08/10/2026 08:57:11,Nala,नाले,नाला,
OPT_River,Variable,Irrigation_Source,"Option , Irrigation_Source , ID Connected to Variable",Enum,River,,Option item for Irrigation_Source,,River,,,,,,,DevNoMi,08/10/2026 08:57:11,River,नदी,नदी,
OPT_Canal,Variable,Irrigation_Source,"Option , Irrigation_Source , ID Connected to Variable",Enum,Canal,,Option item for Irrigation_Source,,Canal,,,,,,,DevNoMi,08/10/2026 08:57:11,Canal,नहर,कालवा,
OPT_Pond,Variable,Irrigation_Source,"Option , Irrigation_Source , ID Connected to Variable",Enum,Pond,,Option item for Irrigation_Source,,Pond,,,,,,,DevNoMi,08/10/2026 08:57:11,Pond,तालाब,तलाव,
OPT_FarmPond,Variable,Irrigation_Source,"Option , Irrigation_Source , ID Connected to Variable",Enum,Farm pond,,Option item for Irrigation_Source,,Farm pond,,,,,,,DevNoMi,08/10/2026 08:57:11,Farm pond,खेत का तालाब,शेततळे,
OPT_PaidBorewell,Variable,Irrigation_Source,"Option , Irrigation_Source , ID Connected to Variable",Enum,Purchase water from neighbour’s borewell,,Option item for Irrigation_Source,,Purchase water from neighbour’s borewell,,,,,,,DevNoMi,08/10/2026 08:57:11,Purchase water from neighbour’s borewell,पड़ोसी के बोरवेल से पानी खरीदें,शेजाऱ्याच्या बोअरवेलमधून पाणी विकत घ्या,
OPT_PaidWell,Variable,Irrigation_Source,"Option , Irrigation_Source , ID Connected to Variable",Enum,Purchase water from neighbour’s well ,,Option item for Irrigation_Source,,Purchase water from neighbour’s well ,,,,,,,DevNoMi,08/10/2026 08:57:11,Purchase water from neighbour’s well ,पड़ोसी के कुएं से पानी खरीदें,शेजारच्या बोअरवेलवरून पाणी खरेदी करा,
OPT_PaidTanker,Variable,Irrigation_Source,"Option , Irrigation_Source , ID Connected to Variable",Enum,Purchase water from tanker,,Option item for Irrigation_Source,,Purchase water from tanker,,,,,,,DevNoMi,08/10/2026 08:57:11,Purchase water from tanker,टैंकर से पानी खरीदें,टँकरमधून पाणी खरेदी करा,
OPT_Rainfed,Variable,Irrigation_Source,"Option , Irrigation_Source , ID Connected to Variable",Enum,Rainfed,,Option item for Irrigation_Source,,Rainfed,,,,,,,DevNoMi,08/10/2026 08:57:11,Rainfed,रेनफेड,पावसावर अवलंबून,
OPT_None,Variable,Irrigation_Source,"Option , Irrigation_Source , ID Connected to Variable",Enum,None of the above,,Option item for Irrigation_Source,,None of the above,,,,,,,DevNoMi,08/10/2026 08:57:11,None of the above,इनमे से कोई भी नहीं,वरीलपैकी काहीही नाही,
OPT_Clean and sweet,Variable,Water_Quality,"Option , Water_Quality , ID Connected to Variable",Enum,Clean and sweet,,Option item for Water_Quality,,Clean and sweet,,,,,,,DevNoMi,08/10/2026 08:57:11,Clean and sweet,साफ़ और मीठा,स्वच्छ आणि गोड,
OPT_Salty,Variable,Water_Quality,"Option , Water_Quality , ID Connected to Variable",Enum,Salty,,Option item for Water_Quality,,Salty,,,,,,,DevNoMi,08/10/2026 08:57:11,Salty,नमकीन,खारट,
OPT_Muddy,Variable,Water_Quality,"Option , Water_Quality , ID Connected to Variable",Enum,Muddy,,Option item for Water_Quality,,Muddy,,,,,,,DevNoMi,08/10/2026 08:57:11,Muddy,कीचड़,चिखलाचा,
OPT_Muddy and salty,Variable,Water_Quality,"Option , Water_Quality , ID Connected to Variable",Enum,Muddy and salty,,Option item for Water_Quality,,Muddy and salty,,,,,,,DevNoMi,08/10/2026 08:57:11,Muddy and salty,कीचड़युक्त और नमकीन,चिखलमय आणि खारट,
OPT_MicroIrrigation,Variable,Water_Saving,"Option , Water_Saving , ID Connected to Variable",Enum,Micro irrigation,,Option item for Water_Saving,,Micro irrigation,,,,,,,DevNoMi,08/10/2026 08:57:11,Micro irrigation,सूक्ष्म सिंचाई,सूक्ष्म सिंचन,
OPT_OnlyDrip,Variable,Water_Saving,"Option , Water_Saving , ID Connected to Variable",Enum,Only drip irrigation,,Option item for Water_Saving,,Only drip irrigation,,,,,,,DevNoMi,08/10/2026 08:57:11,Only drip irrigation,केवल ड्रिप सिंचाई,फक्त ठिबक सिंचन,
OPT_DripMulchin,Variable,Water_Saving,"Option , Water_Saving , ID Connected to Variable",Enum,Drip and mulchin,,Option item for Water_Saving,,Drip and mulchin,,,,,,,DevNoMi,08/10/2026 08:57:11,Drip and mulchin,ड्रिप और मल्चिंग,ठिबक आणि आच्छादन,
OPT_Sprinkler,Variable,Water_Saving,"Option , Water_Saving , ID Connected to Variable",Enum,Sprinkler system,,Option item for Water_Saving,,Sprinkler system,,,,,,,DevNoMi,08/10/2026 08:57:11,Sprinkler system,फौव्वारा प्रणाली,स्प्रिंकलर सिस्टम,
OPT_AlternateFurrow,Variable,Water_Saving,"Option , Water_Saving , ID Connected to Variable",Enum,Alternate furrow method for irrigation,,Option item for Water_Saving,,Alternate furrow method for irrigation,,,,,,,DevNoMi,08/10/2026 08:57:11,Alternate furrow method for irrigation,सिंचाई के लिए वैकल्पिक नाली विधि,सिंचनासाठी पर्यायी सरी पद्धत,
OPT_Carrot,Variable,Vegetables,"Option , Vegetables , ID Connected to Variable",Enum,Gazar (Carrot),,Option item for Vegetables,,Gazar (Carrot),,,,,,,DevNoMi,08/10/2026 08:57:11,Gazar (Carrot),गाजर,गजर (गाजर),
OPT_Spinach,Variable,Vegetables,"Option , Vegetables , ID Connected to Variable",Enum,Palak (Spinach),,Option item for Vegetables,,Palak (Spinach),,,,,,,DevNoMi,08/10/2026 08:57:11,Palak (Spinach),पालक,पालक,
OPT_Brinjal,Variable,Vegetables,"Option , Vegetables , ID Connected to Variable",Enum,Vangi (Brinjals),,Option item for Vegetables,,Vangi (Brinjals),,,,,,,DevNoMi,08/10/2026 08:57:11,Vangi (Brinjals),वांगी (बैंगन),वांगी,
OPT_Onion,Variable,Vegetables,"Option , Vegetables , ID Connected to Variable",Enum,Kanda (Onion),,Option item for Vegetables,,Kanda (Onion),,,,,,,DevNoMi,08/10/2026 08:57:11,Kanda (Onion),कांदा (प्याज),कांदा (कांदा),
OPT_SweetPotato,Variable,Vegetables,"Option , Vegetables , ID Connected to Variable",Enum,Sweet potato,,Option item for Vegetables,,Sweet potato,,,,,,,DevNoMi,08/10/2026 08:57:11,Sweet potato,शकरकंद,रताळे,
OPT_LadyFinger,Variable,Vegetables,"Option , Vegetables , ID Connected to Variable",Enum,Bhendi (Lady’s finger),,Option item for Vegetables,,Bhendi (Lady’s finger),,,,,,,DevNoMi,08/10/2026 08:57:11,Bhendi (Lady’s finger),भिंडी (लेडीज़ फिंगर),भेंडी,
OPT_Chilly,Variable,Vegetables,"Option , Vegetables , ID Connected to Variable",Enum,Mirchi (Chilly),,Option item for Vegetables,,Mirchi (Chilly),,,,,,,DevNoMi,08/10/2026 08:57:11,Mirchi (Chilly),मिर्ची,मिरची,
OPT_Tomato,Variable,Vegetables,"Option , Vegetables , ID Connected to Variable",Enum,Tamatar (Tomatoes),,Option item for Vegetables,,Tamatar (Tomatoes),,,,,,,DevNoMi,08/10/2026 08:57:11,Tamatar (Tomatoes),टमाटर,टमाटर (टोमॅटो),
OPT_Cauliflower,Variable,Vegetables,"Option , Vegetables , ID Connected to Variable",Enum,Fulgobhi (Cauliflower),,Option item for Vegetables,,Fulgobhi (Cauliflower),,,,,,,DevNoMi,08/10/2026 08:57:11,Fulgobhi (Cauliflower),फूलगोभी (Cauliflower),फुलगोभी (Cauliflower),
OPT_Cabbage,Variable,Vegetables,"Option , Vegetables , ID Connected to Variable",Enum,Pattagobi (cabbage),,Option item for Vegetables,,Pattagobi (cabbage),,,,,,,DevNoMi,08/10/2026 08:57:11,Pattagobi (cabbage),पत्तागोभी (पत्तागोभी),पट्टागोबी (कोबी),
