Q_ST_CAP_CUR	Survey_Tables	Capital_Current_Year	QuestionPrompt, Survey_Tables	Decimal	Capital arranged in current year (Rs)		Capital Current Year		Capital arranged in current year (Rs)							वर्तमान वर्ष में व्यवस्थित पूंजी (रु)	हाल रा साल में लगाई पूंजी (रु)	dollar-sign	Antigravity	09/23/2026 15:00:00
Q_ST_CAP_PEN	Survey_Tables	Capital_Pending	QuestionPrompt, Survey_Tables	Decimal	Pending loan amount (Rs)		Pending Loan Amount		Pending loan amount (Rs)							बकाया ऋण राशि (रु)	बाकी रह्यो कर्ज (रु)	alert-circle	Antigravity	09/23/2026 15:00:00
Q_ST_LOAN_USE	Survey_Tables	Loan_Usage	QuestionPrompt, Survey_Tables	Enum	Purpose / utilization of loan		Loan Utilization		Purpose / utilization of loan							ऋण का उपयोग / प्रयोजन	लोन रो उपयोग / काम	credit-card	Antigravity	09/23/2026 15:00:00
Q_ST_LOAN_USE_OTHER	Survey_Tables	Loan_Usage_Other	QuestionPrompt, Survey_Tables	Text	Specify other loan use		Other Loan Utilization		Specify other loan use							अन्य ऋण उपयोग का विवरण	दूजा लोन उपयोग री विगत	edit	Antigravity	09/23/2026 15:00:00
Q_ST_TRAJ_YR1_MODE	Survey_Tables	Trajectory_First_Year_Mode	QuestionPrompt, Survey_Tables	Enum	1st Year condition / status		Trajectory Condition		1st Year condition / status							प्रथम वर्ष की स्थिति	पैला साल री स्थिति	activity	Antigravity	09/23/2026 15:00:00
Q_ST_TRAJ_YR1_AMT	Survey_Tables	Trajectory_First_Year_Amount	QuestionPrompt, Survey_Tables	Decimal	1st Year amount / value (Rs)		Trajectory Year 1 Amount		1st Year amount / value (Rs)							प्रथम वर्ष की राशि (रु)	पैला साल रा पीसा (रु)	dollar-sign	Antigravity	09/23/2026 15:00:00
Q_ST_TRAJ_CUR_AMT	Survey_Tables	Trajectory_Current_Year_Amount	QuestionPrompt, Survey_Tables	Decimal	Current Year amount / value (Rs)		Trajectory Current Year Amount		Current Year amount / value (Rs)							वर्तमान वर्ष की राशि (रु)	हाल रा साल रा पीसा (रु)	dollar-sign	Antigravity	09/23/2026 15:00:00
Q_ST_TABLE_TYPE	Survey_Tables	Table_Type	QuestionPrompt, Survey_Tables	Enum	Section / Question Type		Table Type Discriminator		Section / Question Type							अनुभाग / प्रश्न प्रकार	भाग / सवाल रो प्रकार	layers	Antigravity	09/23/2026 15:10:00
Q_ST_SURVEY_ID	Survey_Tables	Survey_ID	System, Survey_Tables	Ref	Survey Reference		Parent Reference		Survey Reference							सर्वे संदर्भ	सर्वे रो नांव	link	Antigravity	09/23/2026 15:10:00
Q_ST_ID	Survey_Tables	ID	System, Survey_Tables	Text	Record ID		Primary Key		Record ID							रिकॉर्ड आईडी	आईडी	key	Antigravity	09/23/2026 15:10:00
